Телеграмм;https://soft-file.ru/telegram/;3 228
Тик Ток;https://soft-file.ru/tik-tok/;169
Инстаграм*;https://soft-file.ru/instagram/;581
Google Duo;https://soft-file.ru/google-duo/;383
Facebook*;https://soft-file.ru/facebook/;1 242
Дискорд;https://soft-file.ru/discord/;328
Яндекс.Диск;https://soft-file.ru/yandeks-disk/;269
Twitter;https://soft-file.ru/twitter/;198
Алиса Яндекс;https://soft-file.ru/alisa/;698
Opera Mini;https://soft-file.ru/opera-mini/;144
ВКонтакте;https://soft-file.ru/vkontakte/;3 324
Одноклассники;https://soft-file.ru/odnoklassniki/;1 385
Skype;https://soft-file.ru/skype/;9 399
Wireshark;https://soft-file.ru/wireshark/;116
Signal Private Messenger;https://soft-file.ru/signal-private-messenger/;338
WhatsApp;https://soft-file.ru/whatsapp/;10 601
Яндекс.Браузер;https://soft-file.ru/yandeks-brauzer/;6 307
LINE;https://soft-file.ru/line/;211
Ant Download Manager;https://soft-file.ru/ant-download-manager/;123
Zona;https://soft-file.ru/zona/;925
Dropbox;https://soft-file.ru/dropbox/;172
Там Там;https://soft-file.ru/tamtam/;321
Яндекс.Мессенджер;https://soft-file.ru/yandex-messendzher/;115
Steam;https://soft-file.ru/steam/;114
Zello рация;https://soft-file.ru/zello/;170
Atlas VPN;https://soft-file.ru/atlas-vpn/;116
Google Chrome;https://soft-file.ru/google-chrome/;5 385
Brave браузер;https://soft-file.ru/brave-brauzer/;149
ICQ;https://soft-file.ru/icq/;345
Salfeld Child Control;https://soft-file.ru/salfeld-child-control/;110
ZOOM;https://soft-file.ru/zoom/;397
Waterfox;https://soft-file.ru/waterfox/;129
Free YouTube to MP3 Converter;https://soft-file.ru/free-youtube-to-mp3-converter/;147
Slimjet браузер;https://soft-file.ru/slimjet-brauzer/;147
Tixati;https://soft-file.ru/tixati/;116
4K Video Downloader;https://soft-file.ru/4k-video-downloader/;133
Air Explorer Pro;https://soft-file.ru/air-explorer/;123
qBittorrent;https://soft-file.ru/qbittorrent/;123
BrowsingHistoryView;https://soft-file.ru/browsinghistoryview/;22
MassTube Plus;https://soft-file.ru/masstube-plus/;117
Google Диск;https://soft-file.ru/google-drive/;161
Allavsoft Video Downloader Converter;https://soft-file.ru/allavsoft-video-downloader-converter/;114
Adblock Plus;https://soft-file.ru/adblock-plus/;188
Trillian;https://soft-file.ru/trillian/;111
LastPass;https://soft-file.ru/lastpass/;130
Опера;https://soft-file.ru/opera/;830
Mozilla Thunderbird;https://soft-file.ru/thunderbird/;126
Mozilla SeaMonkey;https://soft-file.ru/seamonkey/;115
Vivaldi браузер;https://soft-file.ru/vivaldi-brauzer/;154
Java;https://soft-file.ru/java/;121
Maxthon;https://soft-file.ru/maxthon/;181
Pale Moon;https://soft-file.ru/pale-moon/;131
MyChat;https://soft-file.ru/mychat/;121
WinSCP;https://soft-file.ru/winscp/;119
ManyCam;https://soft-file.ru/manycam/;130
Firefox;https://soft-file.ru/mozilla-firefox/;1 542
MetaProducts Offline Explorer Enterprise;https://soft-file.ru/metaproducts-offline-explorer/;11
NetLimiter;https://soft-file.ru/netlimiter/;112
Youtube Downloader HD;https://soft-file.ru/youtube-downloader/;200
Торрент;https://soft-file.ru/torrent/;7 994
FrostWire;https://soft-file.ru/frostwire/;131
SRWare Iron;https://soft-file.ru/srware-iron/;113
NetWorx;https://soft-file.ru/networx/;52
